mois	date	equipe1	competition	score	equipe2	equipe1_goal	equipe2_goal	equipe_REF	Bilan	Competition_bis	MoisL
7	2019-07-16	DynamoDresde	MA	1-6	Paris-SG	1	6	PARIS-SG (PSG)	V	Amicaux	Juillet
7	2019-07-20	Nuremberg	MA	1-1	Paris-SG	1	1	PARIS-SG (PSG)	N	Amicaux	Juillet
7	2019-07-27	Paris-SG	MA	1-1	InterMilan	1	1	PARIS-SG (PSG)	N	Amicaux	Juillet
7	2019-07-30	Paris-SG	MA	3-0	SydneyFC	3	0	PARIS-SG (PSG)	V	Amicaux	Juillet
3	2019-03-08	Paris-SG	TC	2-1	Rennes	2	1	PARIS-SG (PSG)	V	CoupeNat	Mars
11	2019-11-08	Paris-SG	L1	3-0	Nîmes	3	0	PARIS-SG (PSG)	V	Championnat	Novembre
8	2019-08-18	Rennes	L1	2-1	Paris-SG	2	1	PARIS-SG (PSG)	D	Championnat	Août
8	2019-08-25	Paris-SG	L1	4-0	Toulouse	4	0	PARIS-SG (PSG)	V	Championnat	Août
8	2019-08-30	Metz	L1	0-2	Paris-SG	0	2	PARIS-SG (PSG)	V	Championnat	Août
9	2019-09-14	Paris-SG	L1	1-0	Strasbourg	1	0	PARIS-SG (PSG)	V	Championnat	Septembre
9	2019-09-18	Paris-SG	C1	3-0	RealMadrid	3	0	PARIS-SG (PSG)	V	LDC	Septembre
9	2019-09-22	Lyon	L1	0-1	Paris-SG	0	1	PARIS-SG (PSG)	V	Championnat	Septembre
9	2019-09-25	Paris-SG	L1	0-2	Reims	0	2	PARIS-SG (PSG)	D	Championnat	Septembre
9	2019-09-28	Bordeaux	L1	0-1	Paris-SG	0	1	PARIS-SG (PSG)	V	Championnat	Septembre
1	2019-01-10	Galatasaray	C1	0-1	Paris-SG	0	1	PARIS-SG (PSG)	V	LDC	Janvier
5	2019-05-10	Paris-SG	L1	4-0	Angers	4	0	PARIS-SG (PSG)	V	Championnat	Mai
10	2019-10-18	Nice	L1	1-4	Paris-SG	1	4	PARIS-SG (PSG)	V	Championnat	Octobre
10	2019-10-22	ClubBruges	C1	0-5	Paris-SG	0	5	PARIS-SG (PSG)	V	LDC	Octobre
10	2019-10-27	Paris-SG	L1	4-0	Marseille	4	0	PARIS-SG (PSG)	V	Championnat	Octobre
1	2019-01-11	Dijon	L1	2-1	Paris-SG	2	1	PARIS-SG (PSG)	D	Championnat	Janvier
6	2019-06-11	Paris-SG	C1	1-0	ClubBruges	1	0	PARIS-SG (PSG)	V	LDC	Juin
9	2019-09-11	Brest	L1	1-2	Paris-SG	1	2	PARIS-SG (PSG)	V	Championnat	Septembre
11	2019-11-22	Paris-SG	L1	2-0	Lille	2	0	PARIS-SG (PSG)	V	Championnat	Novembre
11	2019-11-26	RealMadrid	C1	2-2	Paris-SG	2	2	PARIS-SG (PSG)	N	LDC	Novembre
4	2019-04-12	Paris-SG	L1	2-0	Nantes	2	0	PARIS-SG (PSG)	V	Championnat	Avril
7	2019-07-12	Montpellier	L1	1-3	Paris-SG	1	3	PARIS-SG (PSG)	V	Championnat	Juillet
11	2019-11-12	Paris-SG	C1	5-0	Galatasaray	5	0	PARIS-SG (PSG)	V	LDC	Novembre
12	2019-12-15	Saint-Étien.	L1	0-4	Paris-SG	0	4	PARIS-SG (PSG)	V	Championnat	Décembre
12	2019-12-18	LeMans	CL	1-4	Paris-SG	1	4	PARIS-SG (PSG)	V	CoupeNat	Décembre
12	2019-12-21	Paris-SG	L1	4-1	Amiens	4	1	PARIS-SG (PSG)	V	Championnat	Décembre
